filename,mfcc_features
79.wav,"[-342.8721008300781, 116.43096160888672, 23.697650909423828, 37.52892303466797, 5.6250176429748535, 49.593074798583984, -5.3080244064331055, 18.898643493652344, 13.711913108825684, 14.365072250366211, -6.751469135284424, 16.255718231201172, -2.090413808822632]"
45.wav,"[-382.7912292480469, 127.25997924804688, 56.76384735107422, 4.643947124481201, 10.865333557128906, 32.34870529174805, -16.35862922668457, 10.776314735412598, 1.7331912517547607, 23.890430450439453, -15.046448707580566, 18.640092849731445, -0.046884894371032715]"
3.wav,"[-259.8953552246094, 154.1290283203125, 7.153984069824219, 18.44745635986328, 17.498126983642578, 42.460140228271484, -1.7996398210525513, 16.48177719116211, 14.449601173400879, 11.286627769470215, -3.3610026836395264, 9.562677383422852, 2.9609501361846924]"
51.wav,"[-416.91339111328125, 140.7564697265625, 11.057286262512207, 15.590888023376465, -2.2070863246917725, 32.14274978637695, 2.764132261276245, 12.386338233947754, 10.729154586791992, 21.050315856933594, -9.074092864990234, 13.191852569580078, 6.689367771148682]"
86.wav,"[-432.761474609375, 172.66705322265625, 22.480806350708008, 16.868526458740234, 24.771217346191406, 34.7623176574707, 10.034903526306152, -2.4872336387634277, 11.93667221069336, 8.402443885803223, -5.521188735961914, 11.608494758605957, -0.14030936360359192]"
2.wav,"[-256.20489501953125, 147.15411376953125, 20.146808624267578, 7.740581512451172, 17.281993865966797, 34.897789001464844, 0.3007786273956299, 5.22083044052124, 16.184110641479492, 9.228200912475586, 2.8601109981536865, 3.1380257606506348, 5.954193115234375]"
50.wav,"[-363.46319580078125, 111.77200317382812, 25.201772689819336, 5.830236434936523, 16.90537452697754, 24.713159561157227, 9.730409622192383, 6.963682651519775, 11.542099952697754, 8.905257225036621, 3.292617082595825, 6.505792140960693, 9.863717079162598]"
44.wav,"[-394.3267517089844, 120.14940643310547, 54.87351608276367, 6.372470855712891, 10.80437183380127, 26.407936096191406, -12.071189880371094, 7.785112380981445, 5.160638809204102, 21.804359436035156, -14.046748161315918, 18.988012313842773, -1.5172920227050781]"
78.wav,"[-366.9954833984375, 109.30125427246094, 27.010313034057617, 36.9644660949707, 0.719164252281189, 42.67964553833008, -9.078082084655762, 13.831698417663574, 9.649164199829102, 22.63141441345215, -14.556009292602539, 21.712909698486328, -4.001273155212402]"
23.wav,"[-245.9771728515625, 119.49510192871094, -2.3804304599761963, 22.177719116210938, 22.114410400390625, 21.539356231689453, -1.252121090888977, 14.504443168640137, 16.439964294433594, 4.770235538482666, -2.5755977630615234, 13.183452606201172, 9.402772903442383]"
37.wav,"[-249.0576171875, 129.7816925048828, 24.890575408935547, 12.019716262817383, 7.749682426452637, 38.034934997558594, -14.51353931427002, 14.404025077819824, 6.636599540710449, 19.984262466430664, -12.802348136901855, 19.091909408569336, -0.38947781920433044]"
36.wav,"[-415.625, 132.51239013671875, 35.224483489990234, -0.3640906512737274, 29.85373878479004, 34.26341247558594, -0.1081622764468193, 14.861870765686035, 8.665342330932617, 10.877483367919922, 2.3986120223999023, 13.292167663574219, 1.029112696647644]"
22.wav,"[-254.82398986816406, 130.73802185058594, -2.106809616088867, 21.372947692871094, 19.740577697753906, 27.03774642944336, -1.6427199840545654, 14.491334915161133, 18.060787200927734, 8.72418212890625, -5.451035022735596, 14.416230201721191, 9.971104621887207]"
34.wav,"[-285.76611328125, 132.7314910888672, 32.48396682739258, 6.192966938018799, 27.082767486572266, 35.02666091918945, -2.9773504734039307, 15.480207443237305, 8.898506164550781, 9.7925443649292, 3.4274818897247314, 10.569287300109863, 4.632748126983643]"
20.wav,"[-262.29095458984375, 123.98978424072266, 2.4194250106811523, 16.61981964111328, 18.509462356567383, 23.19365692138672, 0.9711899757385254, 13.059964179992676, 19.56293296813965, 8.562813758850098, -2.85646915435791, 14.347517967224121, 10.871444702148438]"
21.wav,"[-252.11370849609375, 123.52366638183594, 1.0157043933868408, 15.540067672729492, 22.05432891845703, 25.554302215576172, 2.396684169769287, 12.515290260314941, 18.182056427001953, 7.601669788360596, -2.106510877609253, 14.274171829223633, 11.751781463623047]"
35.wav,"[-446.9267578125, 107.60157012939453, 43.9271125793457, 9.146172523498535, 15.11586856842041, 34.37396240234375, -3.6112172603607178, 9.840675354003906, 9.919092178344727, 10.517139434814453, -1.1581289768218994, 14.796189308166504, -2.2249233722686768]"
19.wav,"[-274.344482421875, 117.43185424804688, -15.323095321655273, 21.88764190673828, 12.101948738098145, 24.843727111816406, -7.386404037475586, 14.220455169677734, 16.201311111450195, 14.361793518066406, -8.801224708557129, 19.18488883972168, 2.573225498199463]"
31.wav,"[-229.1879119873047, 141.77845764160156, 17.776702880859375, 16.658239364624023, 20.864017486572266, 22.03449821472168, 3.8310577869415283, 7.805767059326172, 16.12846565246582, 7.463782787322998, 0.5424429178237915, 10.174168586730957, 7.463496208190918]"
25.wav,"[-259.780029296875, 115.99140167236328, 10.538688659667969, 15.41711139678955, 22.42592430114746, 23.007606506347656, 4.092942237854004, 13.113576889038086, 18.21596336364746, 7.603814125061035, -0.7798728346824646, 11.161073684692383, 10.298776626586914]"
24.wav,"[-263.16278076171875, 119.74037170410156, -2.619084358215332, 18.7747745513916, 14.276224136352539, 26.925539016723633, 1.141418695449829, 11.290974617004395, 15.776934623718262, 10.777396202087402, -3.286526918411255, 11.398852348327637, 8.026671409606934]"
30.wav,"[-248.5335235595703, 139.9967498779297, 6.852285385131836, 24.772171020507812, 12.599605560302734, 26.790145874023438, -3.8122241497039795, 6.965536117553711, 13.802929878234863, 10.11436939239502, -1.7759751081466675, 12.091185569763184, 6.377547264099121]"
18.wav,"[-139.3219451904297, 174.14759826660156, -29.3614559173584, -3.0186448097229004, 14.77012825012207, 19.91179084777832, -11.431329727172852, -1.5745296478271484, 17.942222595214844, -0.17345912754535675, -1.428052544593811, 13.067427635192871, 8.332396507263184]"
26.wav,"[-255.23634338378906, 115.89457702636719, -13.513001441955566, 19.896499633789062, 17.649778366088867, 20.077957153320312, -6.030734062194824, 12.61118221282959, 16.837186813354492, 6.016768932342529, -2.2106921672821045, 14.164613723754883, 9.387025833129883]"
32.wav,"[-255.63375854492188, 163.67813110351562, 14.788522720336914, 20.58869743347168, 10.456448554992676, 32.664127349853516, -1.802804708480835, 7.314519882202148, 15.2901029586792, 13.500682830810547, -4.587778568267822, 17.359569549560547, 3.5050106048583984]"
33.wav,"[-253.97616577148438, 156.31736755371094, 10.404837608337402, 33.05509948730469, 14.908801078796387, 33.066062927246094, -0.1472601294517517, 11.619083404541016, 14.069310188293457, 16.93997573852539, -7.059255599975586, 15.611376762390137, 2.5852723121643066]"
27.wav,"[-250.78724670410156, 110.64157104492188, -5.180678844451904, 15.405592918395996, 17.371475219726562, 16.666141510009766, -2.818474292755127, 10.011824607849121, 14.468257904052734, 5.713064193725586, -2.629462718963623, 10.867534637451172, 9.921684265136719]"
